#,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Domain,Competency
11,"In Kubernetes, what is the primary role of Role-Based Access Control (RBAC)?",To define network traffic flow between Pods,To manage secure storage of sensitive data like passwords,To control user and service account access to API resources,To assign static IP addresses to Services,To encrypt container images at rest,C,"RBAC regulates access to Kubernetes API resources based on the roles of individual users or service accounts within the cluster, ensuring users only perform actions they are authorized for.",Container Orchestration,Security
12,What is the function of a NetworkPolicy in Kubernetes?,To provide a stable DNS name for a set of Pods,To manage external access to services via HTTP/S routing,To define how Pods are allowed to communicate with each other,To assign IP addresses to newly created Pods,To encrypt traffic between services in a mesh,C,"NetworkPolicy resources specify how groups of Pods are allowed to communicate with each other and other network endpoints, acting as a firewall at the Pod level.",Container Orchestration,Networking
13,What fundamental problem does a Service Mesh like Istio or Linkerd aim to solve in a microservices architecture?,Simplifying container image building,Automating infrastructure provisioning,Managing and observing inter-service communication,Providing persistent storage for stateful applications,Abstracting server management,C,"Service meshes provide a dedicated infrastructure layer for handling service-to-service communication, offering features 1  like traffic management, security (mTLS), and observability (metrics, traces) without requiring changes to application code.",Container Orchestration,Service Mesh
14,A stateful application requires storage that persists even if its Pod is rescheduled to another Node. Which Kubernetes objects are essential for this?,ConfigMap and Secret,PersistentVolume (PV) and PersistentVolumeClaim (PVC),EphemeralVolume and HostPath volume,Service and EndpointSlice,Job and CronJob,B,"A PersistentVolume (PV) represents a piece of storage, and a PersistentVolumeClaim (PVC) is a request for that storage by a user/Pod. This decoupling allows storage to outlive Pods.",Container Orchestration,Storage
15,Which security mechanism in Kubernetes is best suited for providing an identity to processes running in Pods to interact with the API server?,NetworkPolicy,SecurityContext,ServiceAccount,PodSecurityPolicy (deprecated) / PodSecurityAdmission,TLS Certificates for etcd,C,"ServiceAccounts provide an identity for processes that run in a Pod, which can then be granted permissions to API resources via RBAC Roles and RoleBindings.",Container Orchestration,Security
16,What is the primary goal of Horizontal Pod Autoscaling (HPA) in Kubernetes?,To increase the resource limits of existing Pods,To adjust the number of Pod replicas based on metrics,To add or remove Nodes from the cluster,To automatically update container images,To manage storage capacity for stateful sets,B,"HPA automatically scales the number of Pod replicas in a workload resource (like a Deployment or StatefulSet) up or down based on observed CPU utilization, custom metricsor external metrics.",Cloud Native Architecture,Autoscaling
17,"How does Serverless (e.g. FaaS like AWS Lambda or Knative Serving) primarily differ from traditional PaaS offerings?",Serverless does not use containers,Serverless applications cannot be stateful,Serverless abstracts away all underlying server management,PaaS does not offer auto-scaling capabilities,Serverless is only for event-driven functions,C,"Serverless computing (especially FaaS) aims to abstract away all infrastructure management, including servers, OS, and runtimes, allowing developers to focus solely on writing code that executes in response to events.",Cloud Native Architecture,Serverless
18,What is the primary role of the Cloud Native Computing Foundation (CNCF) in the Kubernetes ecosystem?,To directly employ Kubernetes core developers,To sell Kubernetes enterprise support subscriptions,To foster and sustain an ecosystem of open source projects,To define mandatory cloud provider APIs,To own the intellectual property of Linux,C,"The CNCF hosts and promotes a wide range of open source projects (including Kubernetes, Prometheus, Envoy) to advance cloud native computing, providing governance, support, and community building.",Cloud Native Architecture,Community and Governance
19,"In a typical cloud native environment, which persona is most concerned with ensuring application uptime, performance, and managing incident response?",Application Developer,Platform Consumer,Site Reliability Engineer (SRE) / Platform Operator,Business Analyst,End User,C,"SREs and Platform Operators are responsible for the reliability, scalability, and overall operational health of the platform and the applications running on it, including monitoring, alerting, and incident management.",Cloud Native Architecture,Roles and Personas
20,"Why are Open Standards, like those defined by the Open Container Initiative (OCI), critical for the cloud native ecosystem?",They guarantee better application performance,They enforce specific vendor implementations,They promote interoperability and prevent vendor lock-in,They reduce the need for security patching,They simplify the user interface of cloud platforms,C,"Open standards (e.g. OCI for container formats/runtimes, CNI for networking, CRI for runtimes) ensure that different tools and platforms can work together seamlessly, giving users choice and preventing vendor lock-in.",Cloud Native Architecture,Open Standards
21,Which type of telemetry data is most suitable for understanding the sequence of operations and latency across multiple microservices for a single user request?,Logs,Metrics,Traces (Distributed Tracing),Events,Alerts,C,"Distributed tracing captures the end-to-end flow of a request as it propagates through different services, providing insights into latency bottlenecks and dependencies.",Cloud Native Observability,Telemetry & Observability
22,Prometheus is primarily designed for which type of observability data?,Distributed tracing,Log aggregation and analysis,Time-series metrics collection and alerting,Security auditing and compliance reporting,Real-time user monitoring (RUM),C,"Prometheus excels at collecting, storing, and querying time-series data (metrics) from various targets, and it includes a powerful alerting mechanism based on PromQL.",Cloud Native Observability,Prometheus
23,"In Prometheus, what is an ""exporter""?",A component that sends alerts to notification channels,A database that stores long-term metric data,A client library for instrumenting application code,A piece of software that exposes metrics from third-party systems,A dashboard for visualizing metrics,D,"Exporters are helper services that fetch metrics from systems that don't natively expose them in Prometheus format (e.g. databases, hardware, message queues) and translate them into a format Prometheus can scrape.",Cloud Native Observability,Prometheus
24,What is a key challenge in cost management specifically related to shared Kubernetes clusters?,High cost of Kubernetes control plane components,Difficulty in attributing resource usage to specific teams/apps,Inability to use reserved instances with Kubernetes,Lack of tools for visualizing overall cloud spend,Fixed pricing models for all Kubernetes services,B,"In multi-tenant clusters, accurately tracking and attributing resource consumption (CPU, memory, storage, network) to different applications, teamsor cost centers can be complex due to the shared nature of resources.",Cloud Native Observability,Cost Management
25,Which principle is central to the GitOps methodology for application and infrastructure deployment?,Using imperative scripts stored in Git,Managing only stateless applications via Git,Treating Git as the single source of truth for desired state,Requiring manual approval for all Git commits,Using Git LFS for storing container images,C,"GitOps emphasizes a declarative approach where the entire desired state of the system (applications, infrastructure) is described in Git, and an automated process ensures the live environment converges to this state.",Cloud Native Application Delivery,GitOps
26,"In a CI/CD pipeline for a cloud native application, what is the typical output of the ""Continuous Integration"" (CI) phase?",A running application in production,A new Kubernetes cluster provisioned,A tested and versioned container image/artifact,A detailed cost analysis report,A set of user stories for the next sprint,C,"The CI phase focuses on building the application, running automated tests, and producing a reliable, versioned artifact (often a container image) that is ready for deployment.",Cloud Native Application Delivery,CI/CD
27,What is the primary benefit of implementing CI/CD pipelines for application delivery?,It eliminates the need for testing,It reduces infrastructure costs significantly,"It enables faster, more reliable software releases",It automatically writes application code,It replaces the need for version control systems,C,"CI/CD automates the build, test, and deployment processes, leading to increased release velocity, improved code quality through automated testing, and more consistent deployments.",Cloud Native Application Delivery,Application Delivery Fundamentals
28,What does a ReplicaSet ensure in Kubernetes?,That a Pod runs on every node,That a certain number of Pod replicas are running,That Pods have stable network identifiers,That external traffic can reach the Pods,That Pods are scheduled according to affinity rules,B,"A ReplicaSet's primary purpose is to maintain a stable set of replica Pods running at any given time, ensuring the desired number of instances of an application are available. Deployments manage ReplicaSets.",Kubernetes Fundamentals,Kubernetes Resources
29,Which of the following is NOT a core characteristic of cloud native architectures?,Microservices,Containers,Monolithic application design,DevOps practices,Automation,C,"Cloud native architectures typically favor microservices, containers, dynamic orchestration (like Kubernetes), and DevOps/Agile practices, moving away from large, tightly coupled monolithic designs.",Cloud Native Architecture,Cloud Native Principles (implied)
30,What is the main purpose of a ServiceAccount in Kubernetes when interacting with the API server?,To define network access policies for Pods,To provide an identity for Pods to authenticate to the API,To store sensitive credentials for applications,To group users for applying permissions,To manage DNS records for services,B,"ServiceAccounts provide an identity for processes running within Pods. This identity can be used to authenticate to the Kubernetes API server, and RBAC rules can grant it specific permissions.",Container Orchestration,Security
31,"If you need to run a batch job that completes and then terminates, which Kubernetes workload resource is most suitable?",Deployment,StatefulSet,DaemonSet,Job,Service,D,"A Job creates one or more Pods and ensures that a specified number of them successfully terminate. It's ideal for batch tasks, while CronJob is for scheduled Jobs.",Kubernetes Fundamentals,Kubernetes Resources
32,"Which of the following best describes the concept of ""desired state"" in Kubernetes?",The current operational status of cluster nodes,The configuration specified by the user for their resources,The real-time metrics collected by Prometheus,The log output generated by running containers,The network policies applied to Pods,B,"Users define the desired state of their applications and infrastructure via Kubernetes API objects (e.g. in YAML files). Kubernetes controllers then continuously work to make the actual state of the cluster match this desired state.",Kubernetes Fundamentals,Kubernetes Architecture
33,Which OCI specification defines the format of a container image?,Runtime Specification,Image Specification,Distribution Specification,Network Specification,Storage Specification,B,"The OCI Image Specification defines how to create and package a container image, ensuring interoperability across different container tools and runtimes that adhere to the standard.",Kubernetes Fundamentals,Containers
34,What is a key difference between kubectl apply -f <filename> and kubectl create -f <filename>?,"apply is declarative, create is imperative","create can update existing resources, apply cannot","apply ignores existing resources, create fails if they exist","apply stores last-applied-configuration, create does not","create is idempotent, apply is not",D,"kubectl apply records the applied configuration in an annotation on the resource. This allows it to calculate a patch between the previous, current, and new desired state, making it suitable for declarative updates. create will fail if the resource exists.",Kubernetes Fundamentals,Kubernetes API
35,"In the context of container security, what does ""least privilege"" primarily refer to?",Running containers with minimal resource requests,Granting containers only the permissions they absolutely need,Using the smallest possible base container images,Limiting network access to containers,Encrypting all data within the container,B,"The principle of least privilege means that containers (and their processes) should run with only the capabilities and permissions essential for their function, reducing the potential impact of a compromise.",Container Orchestration,Security
36,What is the primary function of kube-proxy when a Service of type ClusterIP is created?,It assigns an IP address from the cluster's Pod CIDR.,It modifies iptables or IPVS rules on nodes to route traffic.,It creates a DNS A record for the Service.,It terminates TLS connections for the Service.,It exposes the Service on a port on each Node.,B,"kube-proxy watches the API server for new Services and Endpoints. For ClusterIP Services, it configures network rules (e.g. iptables, IPVS) on each node to capture traffic destined for the Service's IP and load balance it to the backend Pods.",Container Orchestration,Networking
37,What core benefit does a StatefulSet provide over a Deployment for applications like databases?,Automatic rolling updates by default,Simpler YAML configuration for Pod templates,"Stable, unique network identifiers and persistent storage",Support for hostNetwork: true,Higher number of allowed replicas,C,"StatefulSets are designed for stateful applications, providing stable, persistent identifiers (e.g. my-app-0, my-app-1) and per-instance persistent storage that follows the Pod identity.",Kubernetes Fundamentals,Kubernetes Resources
38,"What is the primary role of the ""Controller Manager"" in Kubernetes?",Manages user authentication and authorization,Exposes the Kubernetes API to external clients,Runs various controllers that regulate cluster state,Schedules Pods onto appropriate Nodes,Stores all cluster configuration data,C,"The kube-controller-manager runs multiple controller processes (e.g. Node controller, Replication controller, Endpoints controller) that watch for changes and work to drive the actual cluster state towards the desired state.",Kubernetes Fundamentals,Kubernetes Architecture
39,What is a primary characteristic of Vertical Pod Autoscaling (VPA)?,It adjusts the number of Pod replicas.,It adjusts the CPU and memory requests and limits for Pods.,It adds or removes Nodes from the cluster.,It automatically selects the optimal storage class.,It scales the number of available IP addresses.,B,"VPA recommends or automatically updates the resource requests and limits for containers within Pods to match actual usage, helping to optimize resource allocation. It does not change the number of replicas (that's HPA).",Cloud Native Architecture,Autoscaling
40,"Which statement accurately describes a key aspect of ""observability"" in cloud native systems?",It is solely focused on collecting system logs.,It primarily relies on manual health checks by operators.,It enables understanding a system's internal state from its outputs.,It is achieved by using proprietary monitoring tools.,It is only relevant for production environments.,C,"Observability is the ability to infer the internal state and behavior of a complex system by examining its outputs (logs, metrics, traces). This allows for better troubleshooting, understanding performance, and proactive issue detection.",Cloud Native Observability,Telemetry & Observability
41,"In Prometheus, what does the up metric typically indicate for a scraped target?",The version number of the target application.,The number of active user connections to the target.,Whether Prometheus was able to successfully scrape the target.,The CPU utilization of the target.,The total uptime of the target since it started.,C,"The up{job=""<job_name>"", instance=""<instance_id>""} metric is automatically generated by Prometheus. A value of 1 means the scrape was successful; 0 means it failed. This is fundamental for monitoring target health.",Cloud Native Observability,Prometheus
42,"From a FinOps perspective in a Kubernetes environment, why is tagging resources (e.g. with labels) important?",It improves the scheduling efficiency of Pods.,It enables more accurate cost allocation and showback/chargeback.,It automatically secures inter-Pod communication.,It increases the performance of PersistentVolumes.,It simplifies the process of upgrading Kubernetes.,B,"Labels and annotations applied to Kubernetes resources (Namespaces, Deployments, Pods, etc.) can be used by cost management tools to categorize and attribute costs to different teams, projectsor applications, supporting FinOps practices.",Cloud Native Observability,Cost Management
43,What is a key advantage of using GitOps for managing Kubernetes deployments compared to traditional CI/CD push-based deployments?,GitOps pipelines are significantly faster to execute.,GitOps eliminates the need for container registries.,GitOps enhances security by reducing direct cluster access for CI.,GitOps does not require YAML manifests for resources.,GitOps is only suitable for small-scale deployments.,C,"In GitOps, the CI system typically pushes an image to a registry and updates a Git repo. An agent inside the cluster pulls changes from Git, reducing the CI system's need for direct cluster credentials and providing a stronger security posture.",Cloud Native Application Delivery,GitOps
44,"Which of these is a core component of a ""Continuous Delivery"" pipeline but NOT necessarily ""Continuous Deployment""?",Automated building of code into an artifact.,Automated execution of unit and integration tests.,Automated deployment to a staging/QA environment.,Automated deployment to the production environment.,Manual approval gate before production deployment.,E,"Continuous Delivery ensures every validated change is releasable to production, often with a manual approval step. Continuous Deployment automates the release to production without manual intervention if all prior stages pass. Both include A, B, C.",Cloud Native Application Delivery,CI/CD
45,"What Kubernetes feature allows you to define constraints on which Nodes your Pods can run, based on Node labels?",NetworkPolicy,ResourceQuota,nodeSelector / nodeAffinity,PodDisruptionBudget,LimitRange,C,"nodeSelector provides a simple way to constrain Pods to Nodes with specific labels. nodeAffinity offers more expressive rules, including ""preferred"" and ""required"" constraints.",Kubernetes Fundamentals,Scheduling
46,"Which of these is a primary goal of the CNCF's ""Trail Map"" for cloud native adoption?",To mandate specific vendor products for each stage.,To provide a prescriptive path for building cloud native apps.,To offer a recommended journey and project choices for adopters.,To rank cloud providers based on their Kubernetes offerings.,To certify individual developers as cloud native experts.,C,"The CNCF Trail Map suggests a path for organizations adopting cloud native technologies, highlighting CNCF projects that can help at different stages (e.g. containerization, CI/CDorchestration, observability).",Cloud Native Architecture,Community and Governance
47,"What is the primary motivation behind using ""Serverless Functions"" (FaaS)?",To achieve higher compute density on physical servers.,"To run long-lived, stateful batch processing jobs.",To execute event-driven code without managing infrastructure.,To gain fine-grained control over OS-level configurations.,"To build complex, monolithic application backends.",C,"Serverless functions are designed for short-lived, event-driven computations where the underlying infrastructure (servers, OS) is completely managed by the platform, allowing developers to focus on code.",Cloud Native Architecture,Serverless
48,"What is the role of an ""Ingress Controller"" in a Kubernetes cluster?",It assigns IP addresses to Pods.,It manages storage volumes for stateful applications.,It implements the rules defined in Ingress resources.,It monitors the health of Nodes in the cluster.,It encrypts communication between control plane components.,C,"An Ingress resource defines HTTP/S routing rules, but an Ingress Controller (e.g. Nginx, Traefik) is the actual reverse proxy/load balancer that reads these rules and routes external traffic accordingly.",Container Orchestration,Networking
49,"When instrumenting an application for Prometheus, what is the typical way metrics are exposed by the application?",Writing metrics directly to Prometheus's storage.,Pushing metrics to a Prometheus Pushgateway.,"Exposing an HTTP endpoint (e.g. /metrics) for scraping.",Sending metrics via syslog to a collector.,Using SNMP traps to send metric data.,C,Applications instrumented with Prometheus client libraries typically expose their metrics on an HTTP endpoint (commonly /metrics) in a specific format that Prometheus can then periodically scrape.,Cloud Native Observability,Prometheus
50,"What is the core difference between ""authentication"" and ""authorization"" in Kubernetes security?","Authentication is for users, authorization for service accounts.","Authentication verifies identity, authorization verifies permissions.",Authorization happens before authentication in the API request flow.,"Authentication uses Roles, authorization uses RoleBindings.","Authorization uses client certificates, authentication uses tokens.",B,"Authentication is the process of determining who a user or service is. Authorization is the process of determining what an authenticated user or service is allowed to do (i.e., which API resources they can access and what actions they can perform).",Container Orchestration,Security
51,What is the smallest and simplest deployable unit object created and managed by Kubernetes?,Node,Container,Pod,Deployment,,C,A Pod represents a single instance of a running process in a cluster and can contain one or more containers. Nodes host Pods.,Kubernetes Fundamentals,Kubernetes Resources
52,Which Kubernetes component is responsible for watching for newly created Pods and assigning them to Nodes?,kube-apiserver,etcd,kube-scheduler,kubelet,,C,The kube-scheduler is the control plane component that decides which Node a Pod should run on based on constraints and availability.,Kubernetes Fundamentals,Kubernetes Architecture
53,What is the primary function of the kubelet component?,Storing cluster state,Scheduling Pods onto Nodes,Managing the container runtime,Exposing the Kubernetes API,,C,The kubelet runs on each Node and ensures that containers described in PodSpecs are running and healthy. It interacts with the container runtime.,Kubernetes Fundamentals,Kubernetes Architecture
54,Which component acts as the central control plane and exposes the Kubernetes API?,kube-proxy,kube-apiserver,etcd,controller-manager,,B,"The kube-apiserver validates and configures data for API objects (Pods, Services, etc.) and is the frontend for the control plane.",Kubernetes Fundamentals,Kubernetes API
55,What is the primary role of etcd in a Kubernetes cluster?,Running application containers,Scheduling workloads,Storing the cluster state,Managing network policies,,C,etcd is a consistent and highly-available key-value store used as Kubernetes' backing store for all cluster data.,Kubernetes 1  Fundamentals,Kubernetes Architecture
56,Which Kubernetes resource is typically used to manage stateless applications by ensuring a specified number of Pod replicas are running?,StatefulSet,DaemonSet,Deployment,Job,,C,"Deployments manage ReplicaSets, providing declarative updates and scaling for stateless applications.",Kubernetes Fundamentals,Kubernetes Resources
57,"What type of software package bundles application code with all its dependencies, libraries, and configuration files?",Virtual Machine,Container,Operating System,Serverless Function,,B,"Containers package application code and dependencies together, isolating them from the underlying infrastructure.",Kubernetes Fundamentals,Containers
58,"In Kubernetes, what is the process of assigning Pods to Nodes called?",Replication,Orchestration,Scheduling,Deployment,,C,"Scheduling is the core function of the kube-scheduler, selecting appropriate Nodes for Pods based on resource requests and other factors.",Kubernetes Fundamentals,Scheduling
59,What is the main benefit of using container orchestration systems like Kubernetes?,Simplifying code writing,Automating deployment & scaling,Reducing storage costs,Improving network latency,,B,"Orchestrators automate the deployment, scaling, management, and networking of containerized applications.",Container Orchestration,Container Orchestration Fundamentals
60,Which of these is a standard specified by the OCI (Open Container Initiative)?,Docker,Kubernetes,Image Specification,Istio,,C,The OCI defines standards for container image formats (Image Specification) and runtime (Runtime Specification).,Kubernetes Fundamentals,Containers
61,Which container runtime is most commonly associated with Kubernetes and implements the CRI (Container Runtime Interface)?,Docker (dockershim),containerd,rkt,LXC,,B,"containerd is a widely used container runtime focused on simplicity, robustness, and portability, fully implementing the CRI.",Container Orchestration,Runtime
62,What Kubernetes object provides a stable IP address and DNS name for accessing a set of Pods?,Ingress,Service,EndpointSlice,NetworkPolicy,,B,"A Service defines a logical set of Pods and a policy by which to access them, providing load balancing and service discovery.",Container Orchestration,Networking
63,How can you securely store sensitive information like passwords or API keys in Kubernetes?,ConfigMap,Annotation,Label,Secret,,D,Secrets are Kubernetes objects specifically designed to hold small amounts of sensitive data.,Container Orchestration,Security
64,What is the role of a CNI (Container Network Interface) plugin in Kubernetes?,Managing storage volumes,Providing container networking,Scheduling Pods,Securing the API server,,B,CNI plugins are responsible for configuring network interfaces for containers and managing IP address allocation within the cluster.,Container Orchestration,Networking
65,Which Kubernetes object defines rules about how Pods are allowed to communicate with each other and network endpoints?,Service,Ingress,NetworkPolicy,SecurityContext,,C,NetworkPolicies allow specifying traffic flow rules at the IP address or port level (OSI layer 3 or 4).,Container Orchestration,Networking
66,What is the primary purpose of a Service Mesh like Istio or Linkerd?,Container image building,Cluster storage management,Managing inter-service comms,Node provisioning,,C,"Service meshes add observability, security, and reliability features to communication between microservices (service-to-service).",Container Orchestration,Service Mesh
67,"What Kubernetes object represents a piece of storage in the cluster, provisioned by an administrator or dynamically?",PersistentVolumeClaim (PVC),StorageClass,PersistentVolume (PV),Volume,,C,"A PersistentVolume (PV) is a piece of storage provisioned for use in the cluster, independent of any individual Pod.",Container Orchestration,Storage
68,What does a PersistentVolumeClaim (PVC) represent in Kubernetes?,A request for storage by a user,A type of storage backend,A node's local storage,A backup of a volume,,A,A PVC is a request made by a user (or Pod) for storage resources defined by a PV.,Container Orchestration,Storage
69,What is the function of a StorageClass in Kubernetes?,To define types of storage,To claim a specific PV,To attach storage to a Pod,To backup volume data,,A,"StorageClasses allow administrators to define different ""classes"" of storage (e.g. 'fast-ssd', 'cheap-hdd') for dynamic provisioning.",Container Orchestration,Storage
70,Which mechanism allows Kubernetes to automatically adjust the number of Pods in a Deployment based on CPU utilization or custom metrics?,Vertical Pod Autoscaler (VPA),Cluster Autoscaler (CA),Horizontal Pod Autoscaler (HPA),Node Problem Detector (NPD),,C,The HPA automatically scales the number of Pod replicas based on observed metrics like CPU or memory usage.,Cloud Native Architecture,Autoscaling
71,What is the primary goal of the Cluster Autoscaler?,Scale Pod replicas,Scale cluster Nodes,Scale Persistent Volumes,Scale Service endpoints,,B,The Cluster Autoscaler adjusts the number of Nodes in the cluster based on pending Pods that cannot be scheduled due to resource limits.,Cloud Native Architecture,Autoscaling
72,"What term describes an architectural approach where applications are built as small, independent services that run in their own processes?",Monolithic,Microservices,Serverless,N-Tier,,B,"Microservices architecture structures an application as a collection of loosely coupled, independently deployable services.",Cloud Native Architecture,Cloud Native Principles
73,"What does ""Serverless"" computing primarily abstract away from the developer?",Networking,Storage,Server Management,Operating System choice,,C,"Serverless platforms (like FaaS) manage the underlying infrastructure, allowing developers to focus solely on code execution.",Cloud Native Architecture,Serverless
74,Which organization hosts Kubernetes and promotes the growth of the cloud native ecosystem?,Linux Foundation (LF),Apache Software Foundation (ASF),Cloud Native Computing Foundation (CNCF),Open Source Initiative (OSI),,C,"The CNCF, part of the Linux Foundation, stewards Kubernetes and many other cloud native projects.",Cloud Native Architecture,Community and Governance
75,What is the benefit of using open standards in cloud native technologies?,Vendor lock-in,Increased complexity,Interoperability & Portability,Reduced security,,C,"Open standards (like OCI, CRI, CNI) ensure that different tools and platforms can work together, preventing vendor lock-in.",Cloud Native Architecture,Open Standards
76,"In a typical cloud native environment, which persona is primarily responsible for designing and building the application?",Operator,Developer,Site Reliability Engineer (SRE),Security Engineer,,B,"Developers focus on writing, building, and testing the application code that runs within the cloud native platform.",Cloud Native Architecture,Roles and Personas
77,"Which persona is typically focused on the reliability, scalability, and maintenance of the underlying Kubernetes platform?",End User,Application Developer,Platform Operator / SRE,Data Scientist,,C,"Operators or SREs manage the Kubernetes cluster itself, ensuring it's healthy, scalable, and available for developers.",Cloud Native Architecture,Roles and Personas
78,What are the three pillars of observability in cloud native systems?,"Alerts, Dashboards, Reports","Logs, Metrics, Traces","Monitoring, Logging, Profiling","Scaling, Scheduling, Storing",,B,"Logs (events), Metrics (measurements over time), and Traces (request flows) are considered the fundamental pillars of observability.",Cloud Native Observability,Telemetry & Observability
79,What type of telemetry data records discrete events that happened at a specific time?,Metrics,Traces,Logs,Profiles,,C,"Logs provide timestamped records of events, often used for debugging or auditing.",Cloud Native Observability,Telemetry & Observability
80,"What type of telemetry data represents a measurement sampled over time, often aggregated?",Metrics,Traces,Logs,Events,,A,"Metrics are numerical values tracked over time (e.g. CPU usage, request count) used for monitoring trends and performance.",Cloud Native Observability,Telemetry & Observability
81,What type of telemetry data shows the path and duration of a request as it flows through multiple services?,Metrics,Traces,Logs,Alerts,,B,"Traces (specifically distributed traces) track a request's journey across different microservices, identifying bottlenecks.",Cloud Native Observability,Telemetry & Observability
82,"Which open-source monitoring system, graduated by the CNCF, is widely used for collecting and querying time-series metrics in Kubernetes?",Grafana,Jaeger,Prometheus,Fluentd,,C,Prometheus is the de facto standard for metrics collection and alerting in the Kubernetes ecosystem.,Cloud Native Observability,Prometheus
83,How does Prometheus typically gather metrics from applications and infrastructure?,Pushing metrics to endpoints,Pulling metrics via scraping,Reading log files directly,Using kernel probes,,B,"Prometheus operates on a pull model, periodically scraping HTTP endpoints exposed by targets (applications, exporters) for metrics.",Cloud Native Observability,Prometheus
84,What language is used to write queries in Prometheus?,SQL,PromQL,JSONPath,YAML,,B,PromQL (Prometheus Query Language) is the powerful functional query language used to select and aggregate time series data.,Cloud Native Observability,Prometheus
85,"In cloud native cost management, what does ""FinOps"" primarily focus on?",Optimizing application code,Managing cloud spending,Improving network security,Automating deployments,,B,FinOps is a cultural practice and framework that brings financial accountability to the variable spend model of the cloud.,Cloud Native Observability,Cost Management
86,Why can cost management be challenging in Kubernetes environments?,Lack of monitoring tools,Shared resources & dynamic workloads,Fixed infrastructure costs,Infrequent deployments,,B,The shared nature of cluster resources and the dynamic scaling of workloads make it difficult to attribute costs accurately.,Cloud Native Observability,Cost Management
87,What is the practice of using Git repositories as the single source of truth for defining and managing infrastructure and applications?,CI/CD,DevOps,GitOps,Infrastructure as Code (IaC),,C,"GitOps leverages Git's features (versioning, history, PRs) to manage infrastructure and application deployment declaratively.",Cloud Native Application Delivery,GitOps
